sample_id,roi_id,interaction_id,frame_index,timestamp,track_id,backend_name,topology,num_keypoints,overall_confidence,quality_score,processing_time_ms
SMP-INT-0003-159,ROI-INT-0003,INT-0003,159,5.305,1,MediaPipe,COCO_17,17,0.5,0.5,11.18
SMP-INT-0003-160,ROI-INT-0003,INT-0003,160,5.339,1,MediaPipe,COCO_17,17,0.5,0.5,26.48
SMP-INT-0003-161,ROI-INT-0003,INT-0003,161,5.372,1,MediaPipe,COCO_17,17,0.5,0.5,29.2
SMP-INT-0003-162,ROI-INT-0003,INT-0003,162,5.405,1,MediaPipe,COCO_17,17,0.7416,0.6543,26.83
SMP-INT-0003-163,ROI-INT-0003,INT-0003,163,5.439,1,MediaPipe,COCO_17,17,0.6993,0.5348,30.0
SMP-INT-0003-164,ROI-INT-0003,INT-0003,164,5.472,1,MediaPipe,COCO_17,17,0.7947,0.7012,25.62
SMP-INT-0003-165,ROI-INT-0003,INT-0003,165,5.506,1,MediaPipe,COCO_17,17,0.7519,0.6192,25.44
SMP-INT-0003-166,ROI-INT-0003,INT-0003,166,5.539,1,MediaPipe,COCO_17,17,0.7783,0.6867,25.35
SMP-INT-0003-167,ROI-INT-0003,INT-0003,167,5.572,1,MediaPipe,COCO_17,17,0.8067,0.7118,26.91
SMP-INT-0003-168,ROI-INT-0003,INT-0003,168,5.606,1,MediaPipe,COCO_17,17,0.7577,0.6686,25.69
SMP-INT-0003-169,ROI-INT-0003,INT-0003,169,5.639,1,MediaPipe,COCO_17,17,0.771,0.6803,26.7
SMP-INT-0003-170,ROI-INT-0003,INT-0003,170,5.672,1,MediaPipe,COCO_17,17,0.8345,0.8345,25.6
SMP-INT-0003-171,ROI-INT-0003,INT-0003,171,5.706,1,MediaPipe,COCO_17,17,0.5,0.5,11.07
SMP-INT-0003-172,ROI-INT-0003,INT-0003,172,5.739,1,MediaPipe,COCO_17,17,0.8655,0.8655,26.63
SMP-INT-0003-173,ROI-INT-0003,INT-0003,173,5.772,1,MediaPipe,COCO_17,17,0.8707,0.8707,26.73
SMP-INT-0003-174,ROI-INT-0003,INT-0003,174,5.806,1,MediaPipe,COCO_17,17,0.8467,0.8467,25.4
SMP-INT-0003-175,ROI-INT-0003,INT-0003,175,5.839,1,MediaPipe,COCO_17,17,0.5,0.5,10.71
